0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:52 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:52 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:52 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:52 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:52 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:52 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:59 +0900] "GET /chat HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:20:01 +0900] "GET /chatbot/input?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:20:26 +0900] "GET /chatbot/input?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:20:27 +0900] "GET /chatbot/input?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:20:42 +0900] "GET /chat HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:20:47 +0900] "GET /chatbot/input?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:20:48 +0900] "GET /chatbot/input?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:47 +0900] "GET /chat HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:47 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:47 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:47 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:48 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:48 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:50 +0900] "GET /chatbot/input?input=%EB%A6%AC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:21:57 +0900] "GET /chatbot/input?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:05 +0900] "GET /chat HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:08 +0900] "GET /chatbot/input?input=%EC%8A%A4 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:09 +0900] "GET /chatbot/input?input=%EC%8A%A4 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:09 +0900] "GET /chatbot/input?input=%EC%8A%A4 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:35 +0900] "GET /chat HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:35 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:35 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:35 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:35 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:36 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:38 +0900] "GET /chatbot/input?input=%EB%A6%AC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:23:39 +0900] "GET /chatbot/input?input=%EB%A6%AC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:36:47 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:36:50 +0900] "GET /chat/Ok?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:37:57 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:37:57 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:37:57 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:37:57 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:37:57 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:37:58 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:38:07 +0900] "GET /chat/Ok?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:38:07 +0900] "GET /chat/Ok?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:19 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:19 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:19 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:19 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:19 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:19 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:26 +0900] "GET /chat/Ok?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:00:38 +0900] "GET /chat/Ok?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:35 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:35 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:35 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:35 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:35 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:35 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:38 +0900] "GET /chat/Ok?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:43 +0900] "GET /chat/Ok?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:49 +0900] "GET /chat/Ok?input=%EC%95%88%EB%85%95 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:28 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:28 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
